Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,143.0500030517578,143.0500030517578,145.86000061035156,141.75999450683594,145.3699951171875,297400
2025-01-03,149.89999389648438,149.89999389648438,152.4600067138672,142.3800048828125,143.86000061035156,504700
2025-01-06,154.0399932861328,154.0399932861328,157.83999633789062,149.5500030517578,150.55999755859375,470300
2025-01-07,153.5,153.5,158.77999877929688,152.60000610351562,155.10000610351562,487400
2025-01-08,154.6999969482422,154.6999969482422,155.39999389648438,149.14999389648438,152.47999572753906,447400
2025-01-10,154.86000061035156,154.86000061035156,155.32000732421875,150.5,151.6199951171875,553900
2025-01-13,158.44000244140625,158.44000244140625,160.63999938964844,152.72000122070312,154.63999938964844,544300
2025-01-14,156.5500030517578,156.5500030517578,160.0399932861328,150.22999572753906,157.58999633789062,580700
2025-01-15,157.2899932861328,157.2899932861328,161.6199951171875,151.6699981689453,160.1999969482422,545400
2025-01-16,162.85000610351562,162.85000610351562,164.36000061035156,153.9199981689453,157.2899932861328,908200
2025-01-17,160.50999450683594,160.50999450683594,165.39999389648438,159.57000732421875,164.4499969482422,753600
2025-01-21,167.9199981689453,167.9199981689453,168.4199981689453,157.5800018310547,161.07000732421875,769400
2025-01-22,166.83999633789062,166.83999633789062,170.47999572753906,165.6699981689453,168.52999877929688,419600
2025-01-23,167.89999389648438,167.89999389648438,168.64999389648438,162.82000732421875,164.8699951171875,373900
2025-01-24,165.88999938964844,165.88999938964844,168.6999969482422,165.24000549316406,167.75,538300
2025-01-27,168.00999450683594,168.00999450683594,168.22999572753906,163.89999389648438,165.55999755859375,484700
2025-01-28,174.24000549316406,174.24000549316406,182.5200042724609,169.99000549316406,176.2899932861328,1119300
2025-01-29,169.39999389648438,169.39999389648438,174.75,164.9600067138672,172.02999877929688,917800
2025-01-30,167.52999877929688,167.52999877929688,177.1699981689453,166.5500030517578,171.32000732421875,584100
2025-01-31,166.2100067138672,166.2100067138672,170.44000244140625,165.7100067138672,167.57000732421875,340000
2025-02-03,159.8699951171875,159.8699951171875,165.08999633789062,159.7899932861328,162.6999969482422,573100
2025-02-04,160.02000427246094,160.02000427246094,162.02000427246094,156.6300048828125,157.64999389648438,434400
2025-02-05,161.92999267578125,161.92999267578125,163.60000610351562,159.72999572753906,160.80999755859375,413000
2025-02-06,161.86000061035156,161.86000061035156,163.6999969482422,158.77000427246094,162.00999450683594,413200
2025-02-07,156.0500030517578,156.0500030517578,162.10000610351562,154.67999267578125,161.3300018310547,409300
2025-02-10,153.86000061035156,153.86000061035156,159.50999450683594,153.57000732421875,158.83999633789062,459200
2025-02-11,149.49000549316406,149.49000549316406,154.47999572753906,149.24000549316406,152.39999389648438,429700
2025-02-12,145.72000122070312,145.72000122070312,148.25999450683594,144.02000427246094,145.77000427246094,739500
2025-02-13,146.1699981689453,146.1699981689453,148.4499969482422,143.02999877929688,145.85000610351562,519400
2025-02-14,146.9199981689453,146.9199981689453,147.58999633789062,144.55999755859375,145.8300018310547,403000
2025-02-18,145.17999267578125,145.17999267578125,149.0399932861328,143.88999938964844,147.2899932861328,537100
2025-02-19,150.72999572753906,150.72999572753906,151.32000732421875,143.8300018310547,143.8300018310547,1172800
2025-02-20,162.6699981689453,162.6699981689453,169.0,157.8800048828125,157.89999389648438,1769300
2025-02-21,158.99000549316406,158.99000549316406,165.0,156.17999267578125,164.33999633789062,795400
2025-02-24,164.74000549316406,164.74000549316406,168.10000610351562,157.6300048828125,159.32000732421875,957300
2025-02-25,161.47000122070312,161.47000122070312,165.47000122070312,159.14999389648438,164.13999938964844,801300
2025-02-26,162.80999755859375,162.80999755859375,165.82000732421875,161.0,161.5399932861328,513400
2025-02-27,156.5399932861328,156.5399932861328,165.42999267578125,156.41000366210938,162.1999969482422,438700
2025-02-28,159.25999450683594,159.25999450683594,160.0500030517578,154.2899932861328,155.50999450683594,453300
2025-03-03,155.3800048828125,155.3800048828125,160.99000549316406,153.80999755859375,159.44000244140625,466400
2025-03-04,154.80999755859375,154.80999755859375,156.82000732421875,147.3699951171875,153.6199951171875,709700
2025-03-05,157.6699981689453,157.6699981689453,160.0,152.25,154.52999877929688,655000
2025-03-06,160.11000061035156,160.11000061035156,163.77999877929688,155.35000610351562,155.97000122070312,589100
2025-03-07,155.6999969482422,155.6999969482422,161.67999267578125,149.8800048828125,159.6300048828125,923900
2025-03-10,136.99000549316406,136.99000549316406,152.4600067138672,135.69000244140625,151.1699981689453,1516600
2025-03-11,147.1300048828125,147.1300048828125,148.5399932861328,137.55999755859375,138.5399932861328,962200
2025-03-12,145.3699951171875,145.3699951171875,149.66000366210938,141.25999450683594,148.52000427246094,884900
2025-03-13,142.44000244140625,142.44000244140625,146.64999389648438,140.92999267578125,145.17999267578125,462400
2025-03-14,150.6199951171875,150.6199951171875,150.8699951171875,142.7899932861328,143.9199981689453,498500
2025-03-17,152.80999755859375,152.80999755859375,153.88999938964844,147.99000549316406,150.4199981689453,481700
2025-03-18,144.33999633789062,144.33999633789062,147.61000061035156,139.07000732421875,144.61000061035156,1160900
2025-03-19,144.8800048828125,144.8800048828125,146.60000610351562,138.00999450683594,144.1199951171875,814700
2025-03-20,139.33999633789062,139.33999633789062,144.32000732421875,137.9199981689453,140.64999389648438,446200
2025-03-21,140.02000427246094,140.02000427246094,140.38999938964844,135.7100067138672,136.61000061035156,623100
2025-03-24,145.14999389648438,145.14999389648438,145.60000610351562,141.27999877929688,142.6699981689453,492800
2025-03-25,141.9499969482422,141.9499969482422,147.0,140.1999969482422,144.77999877929688,730900
2025-03-26,139.42999267578125,139.42999267578125,142.13999938964844,136.58999633789062,141.82000732421875,746600
2025-03-27,137.1199951171875,137.1199951171875,140.88999938964844,136.5800018310547,138.72000122070312,313300
2025-03-28,133.41000366210938,133.41000366210938,137.0500030517578,130.41000366210938,136.0500030517578,856700
2025-03-31,127.23999786376952,127.23999786376952,131.16000366210938,125.38999938964844,131.16000366210938,1262600
2025-04-01,128.5,128.5,128.88999938964844,124.83999633789062,127.77999877929688,749400
2025-04-02,130.9199981689453,130.9199981689453,133.3800048828125,124.98999786376952,126.72000122070312,863700
2025-04-03,121.6999969482422,121.6999969482422,126.51000213623048,120.3000030517578,120.93000030517578,886500
2025-04-04,111.94000244140624,111.94000244140624,118.41999816894533,106.77999877929688,117.72000122070312,1826100
2025-04-07,116.11000061035156,116.11000061035156,121.83999633789062,102.97000122070312,105.77999877929688,1824900
2025-04-08,108.88999938964844,108.88999938964844,122.69000244140624,105.76000213623048,121.79000091552734,1189100
2025-04-09,123.8499984741211,123.8499984741211,124.37999725341795,105.05999755859376,106.88999938964844,1252500
2025-04-10,115.19000244140624,115.19000244140624,121.0999984741211,110.97000122070312,121.0999984741211,836800
2025-04-11,122.86000061035156,122.86000061035156,123.23999786376952,111.20999908447266,115.37000274658205,979300
2025-04-14,127.26000213623048,127.26000213623048,128.92999267578125,123.5,126.3000030517578,634100
2025-04-15,126.62000274658205,126.62000274658205,130.30999755859375,123.97000122070312,126.04000091552734,811800
2025-04-16,132.10000610351562,132.10000610351562,135.80999755859375,127.9000015258789,127.9000015258789,1393600
2025-04-17,130.0,130.0,131.50999450683594,125.23999786376952,131.25999450683594,754700
2025-04-21,131.63999938964844,131.63999938964844,132.41000366210938,125.0500030517578,129.42999267578125,679000
2025-04-22,138.92999267578125,138.92999267578125,141.6199951171875,136.07000732421875,138.50999450683594,1075400
2025-04-23,141.39999389648438,141.39999389648438,148.94000244140625,140.6999969482422,144.4600067138672,609000
2025-04-24,145.22999572753906,145.22999572753906,145.91000366210938,140.6999969482422,141.80999755859375,491700
2025-04-25,144.75,144.75,145.9600067138672,140.88999938964844,143.75,440800
2025-04-28,143.6300048828125,143.6300048828125,148.3800048828125,140.13999938964844,145.60000610351562,863700
2025-04-29,139.42999267578125,139.42999267578125,145.47000122070312,132.4600067138672,135.14999389648438,1991000
2025-04-30,137.99000549316406,137.99000549316406,139.5399932861328,134.0399932861328,139.5399932861328,975600
2025-05-01,137.1999969482422,137.1999969482422,140.7100067138672,135.4600067138672,139.75,481900
2025-05-02,141.50999450683594,141.50999450683594,142.66000366210938,138.32000732421875,140.36000061035156,581900
2025-05-05,140.9199981689453,140.9199981689453,143.55999755859375,139.67999267578125,140.27999877929688,681500
2025-05-06,130.39999389648438,130.39999389648438,141.99000549316406,130.14999389648438,140.2100067138672,1117300
2025-05-07,126.87999725341795,126.87999725341795,133.17999267578125,125.30999755859376,131.52000427246094,1379900
2025-05-08,127.8499984741211,127.8499984741211,131.0,126.2699966430664,127.81999969482422,681200
2025-05-09,123.23999786376952,123.23999786376952,130.8699951171875,123.0999984741211,128.36000061035156,581000
2025-05-12,133.72000122070312,133.72000122070312,134.05999755859375,125.4000015258789,127.86000061035156,1052500
2025-05-13,131.5500030517578,131.5500030517578,135.47000122070312,131.3699951171875,133.52999877929688,546900
