Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,278.9308776855469,289.6499938964844,295.1499938964844,288.54998779296875,293.8299865722656,1025300
2025-01-03,280.8953857421875,291.69000244140625,292.54998779296875,289.7900085449219,290.7300109863281,1044200
2025-01-06,276.5041809082031,287.1300048828125,290.32000732421875,285.8599853515625,289.1499938964844,1529100
2025-01-07,277.72711181640625,288.3999938964844,290.0,287.25,287.25,1451800
2025-01-08,281.0880126953125,291.8900146484375,292.04998779296875,288.510009765625,288.510009765625,1513000
2025-01-10,276.2345275878906,286.8500061035156,292.8500061035156,286.70001220703125,290.19000244140625,2292500
2025-01-13,279.4606018066406,290.20001220703125,290.4800109863281,285.4800109863281,285.69000244140625,1809400
2025-01-14,280.8953857421875,291.69000244140625,291.8699951171875,287.4700012207031,290.29998779296875,2321600
2025-01-15,282.51324462890625,293.3699951171875,295.2099914550781,292.3599853515625,294.0199890136719,1764400
2025-01-16,285.26739501953125,296.2300109863281,297.6099853515625,291.8099975585937,291.8399963378906,1667500
2025-01-17,285.21923828125,296.17999267578125,301.0899963378906,295.9599914550781,301.0899963378906,2408400
2025-01-21,287.1163635253906,298.1499938964844,299.1000061035156,296.44000244140625,296.44000244140625,1652300
2025-01-22,285.3925170898437,296.3599853515625,298.67999267578125,296.2200012207031,297.7300109863281,1627800
2025-01-23,284.8532409667969,295.79998779296875,297.17999267578125,293.67999267578125,296.239990234375,1102000
2025-01-24,286.105224609375,297.1000061035156,298.29998779296875,293.239990234375,293.7200012207031,1206000
2025-01-27,289.04229736328125,300.1499938964844,301.0799865722656,294.70001220703125,294.70001220703125,1635900
2025-01-28,287.2703857421875,298.3099975585937,302.54998779296875,295.6700134277344,299.9599914550781,2469600
2025-01-29,289.4467468261719,300.57000732421875,311.6700134277344,300.4200134277344,304.1400146484375,2764100
2025-01-30,292.0372619628906,303.260009765625,307.8399963378906,301.0400085449219,303.5199890136719,1367100
2025-01-31,291.7964782714844,303.010009765625,305.1000061035156,301.17999267578125,301.7900085449219,2237700
2025-02-03,295.94696044921875,307.32000732421875,307.94000244140625,302.7099914550781,303.29998779296875,2169100
2025-02-04,293.3950500488281,304.6700134277344,305.6300048828125,303.0,304.1400146484375,1256700
2025-02-05,296.7462463378906,308.1499938964844,308.20001220703125,303.9200134277344,305.6300048828125,1633600
2025-02-06,297.535888671875,308.9700012207031,310.260009765625,307.510009765625,309.0,1740400
2025-02-07,294.6469421386719,305.9700012207031,310.3699951171875,305.82000732421875,310.32000732421875,1387900
2025-02-10,295.5714111328125,306.92999267578125,308.3599853515625,306.4800109863281,308.239990234375,902800
2025-02-11,294.4639587402344,305.7799987792969,307.5599975585937,304.3699951171875,307.5599975585937,1151000
2025-02-12,295.3017578125,306.6499938964844,306.75,302.8099975585937,304.1400146484375,1559000
2025-02-13,298.7396240234375,310.2200012207031,310.5799865722656,305.0,306.0,1197800
2025-02-14,296.7462463378906,308.1499938964844,311.5899963378906,308.1300048828125,310.0,1100900
2025-02-18,298.4796447753906,309.95001220703125,311.4700012207031,307.7699890136719,310.2799987792969,1313200
2025-02-19,301.6286315917969,313.2200012207031,313.7200012207031,309.5,310.70001220703125,1407700
2025-02-20,300.4248962402344,311.9700012207031,312.8900146484375,309.760009765625,311.9700012207031,1304500
2025-02-21,299.2596740722656,310.760009765625,312.3599853515625,307.32000732421875,311.7799987792969,1600300
2025-02-24,300.6463928222656,312.20001220703125,314.0599975585937,310.1199951171875,310.6199951171875,1311900
2025-02-25,301.7731018066406,313.3699951171875,314.70001220703125,310.44000244140625,312.989990234375,1880000
2025-02-26,299.856689453125,311.3800048828125,315.2900085449219,311.0400085449219,312.739990234375,1442900
2025-02-27,299.7796325683594,311.29998779296875,314.1199951171875,310.239990234375,311.9800109863281,1489900
