ticker,date,sector,setup,primary_setup,raw_score,score,score_trend,score_momentum,score_position,score_relative_strength,trend_ok,momentum_ok,liquidity_state,discovery_state,discovery_reason,regime_state,close,ma20,ma50,ma200,atr14,high_20d,low_20d,avg_vol_20,volume_ratio,breakout_strength,extension_atr,ret_20d_pct,rs_20d_pct,atr_pct,entry,stop,target,rr,grade
DXCM,2026-05-20,HEALTHCARE,NONE,,11.0,11.0,3.0,4.0,2.0,2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,71.44,61.34,63.21,67.99,2.79,67.75,56.72,6683602,1.68,5.5,3.62,12.66,12.66,3.91,,,,,A
EA,2026-05-20,COMMUNICATION SERVICES,NONE,,2.8,2.8,2.4,0.7,0.7,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,201.59,201.46,201.89,196.16,0.89,203.81,199.45,1793447,0.83,2.0,0.15,-0.59,-0.59,0.44,,,,,C
EBAY,2026-05-20,CONSUMER CYCLICAL,NONE,,14.0,14.0,6.0,4.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,118.96,107.94,100.11,92.09,3.93,116.83,96.28,7538854,1.08,4.5,2.81,12.62,12.62,3.3,,,,,A
ECL,2026-05-20,BASIC MATERIALS,NONE,,-3.0,-3.0,1.0,-1.0,-1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,248.64,256.62,263.82,272.04,5.63,274.12,243.15,1603191,0.98,0.0,-1.42,-7.54,-7.54,2.26,,,,,C
EL,2026-05-20,CONSUMER DEFENSIVE,NONE,,0.5,0.5,2.0,-2.0,0.5,0.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,78.2,80.4,78.28,93.61,3.76,87.9,74.68,3420380,0.68,0.0,-0.58,2.01,2.01,4.8,,,,,C
ELV,2026-05-20,HEALTHCARE,NONE,,9.0,9.0,6.0,1.0,0.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,396.21,377.95,332.86,331.53,10.17,405.89,325.42,1765518,0.56,2.0,1.8,20.72,20.72,2.57,,,,,B
EMR,2026-05-20,INDUSTRIALS,NONE,,-1.5,-1.5,2.0,-2.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,132.86,138.17,136.62,137.21,4.77,149.47,128.13,3060971,1.08,0.0,-1.11,-6.94,-6.94,3.59,,,,,C
ENB,2026-05-20,ENERGY,BREAKOUT,BREAKOUT,16.65,16.65,4.8,7.5,2.35,2.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,57.08,54.63,54.07,49.93,1.03,57.01,51.61,4771770,1.38,4.5,2.37,10.19,10.19,1.81,57.12,54.58,63.74,2.6,A
ENPH,2026-05-20,TECHNOLOGY,BREAKOUT,BREAKOUT,24.15,24.15,6.0,10.9,5.25,2.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,53.15,39.17,38.17,36.71,4.19,53.89,29.9,8923710,1.22,5.5,3.33,50.31,50.31,7.89,54.0,39.17,92.55,2.6,A
EOG,2026-05-20,ENERGY,NONE,,10.0,10.0,4.0,3.0,2.0,1.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,141.63,137.01,137.68,119.04,3.96,144.65,128.83,3539314,0.99,2.5,1.17,6.48,6.48,2.8,,,,,B
EQIX,2026-05-20,REAL ESTATE,NONE,,1.4,1.4,3.1,0.0,-0.7,-1.0,True,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1065.06,1079.75,1037.47,864.91,20.76,1128.68,1044.7,568091,0.85,0.0,-0.71,-3.38,-3.38,1.95,,,,,C
EQR,2026-05-20,REAL ESTATE,NONE,,6.9,6.9,3.1,0.7,2.1,1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,66.28,65.08,62.16,62.48,1.17,66.95,61.33,2853916,0.51,2.0,1.02,7.42,7.42,1.77,,,,,B
ETN,2026-05-20,INDUSTRIALS,NONE,,-0.5,-0.5,3.0,-2.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,379.69,408.57,388.74,363.88,16.61,435.43,367.64,2972726,0.65,0.0,-1.74,-8.26,-8.26,4.38,,,,,C
ETSY,2026-05-20,CONSUMER CYCLICAL,NONE,,2.5,2.5,3.0,1.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,60.89,62.03,57.34,58.81,2.49,70.88,56.29,3440861,0.62,1.5,-0.46,-7.83,-7.83,4.08,,,,,C
EW,2026-05-20,HEALTHCARE,NONE,,9.0,9.0,6.0,1.0,2.0,0.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,82.97,81.95,81.47,81.27,2.46,85.06,76.49,5175454,0.63,2.5,0.41,1.77,1.77,2.96,,,,,B
EXC,2026-05-20,UTILITIES,NONE,,2.0,2.0,2.0,1.0,0.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,44.87,45.38,47.16,45.75,0.91,47.68,43.27,8042698,0.58,0.5,-0.56,-2.16,-2.16,2.03,,,,,C
EXPD,2026-05-20,INDUSTRIALS,NONE,,11.0,11.0,6.0,2.0,2.0,1.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,158.42,151.85,147.43,140.23,5.21,157.83,136.13,1067644,0.63,3.5,1.26,6.72,6.72,3.29,,,,,A
F,2026-05-20,CONSUMER CYCLICAL,NONE,,8.0,8.0,4.0,2.0,1.0,1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,13.22,12.53,12.2,12.64,0.64,14.94,11.46,64893352,0.52,0.0,1.07,4.67,4.67,4.88,,,,,B
FAST,2026-05-20,INDUSTRIALS,NONE,,2.0,2.0,2.0,0.0,1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,43.68,44.25,45.12,44.74,0.9,45.79,42.97,6353000,1.3,2.0,-0.63,-2.52,-2.52,2.06,,,,,C
FCX,2026-05-20,BASIC MATERIALS,NONE,,1.0,1.0,3.0,-1.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,60.87,60.79,61.19,51.92,2.74,70.49,55.49,15963832,0.75,0.0,0.03,-13.49,-13.49,4.51,,,,,C
FDX,2026-05-20,INDUSTRIALS,PULLBACK,PULLBACK,11.5,11.5,6.0,3.0,2.5,0.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,386.84,380.45,370.55,301.9,12.46,404.03,354.14,1563741,0.74,3.5,0.51,0.23,0.23,3.22,386.84,361.11,438.3,2.0,A
FIS,2026-05-20,TECHNOLOGY,NONE,,0.0,0.0,1.0,0.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,42.69,44.72,46.61,59.17,1.59,48.09,41.33,6810653,0.94,0.0,-1.28,-10.77,-10.77,3.73,,,,,C
FTNT,2026-05-20,TECHNOLOGY,NONE,,14.0,14.0,6.0,4.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,130.0,103.11,90.34,83.74,5.57,128.2,81.81,6288855,0.92,4.5,4.83,49.27,49.27,4.28,,,,,A
GD,2026-05-20,INDUSTRIALS,NONE,,4.1,4.1,2.4,0.0,0.7,1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,339.75,337.84,342.13,340.95,6.4,353.57,306.77,1466268,0.42,1.0,0.3,5.93,5.93,1.88,,,,,B
GE,2026-05-20,INDUSTRIALS,NONE,,9.0,9.0,3.0,1.0,3.0,2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,300.17,290.55,294.5,299.87,9.58,310.0,268.91,6087661,0.77,1.5,1.0,8.64,8.64,3.19,,,,,B
GEHC,2026-05-20,HEALTHCARE,NONE,,2.0,2.0,2.0,2.0,0.0,-2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,64.26,63.22,68.37,75.61,1.77,72.86,58.75,6918432,1.26,1.5,0.59,-9.97,-9.97,2.76,,,,,C
GILD,2026-05-20,HEALTHCARE,NONE,,2.0,2.0,2.0,0.0,1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,130.69,131.71,136.39,128.11,3.33,137.5,127.64,6186483,0.9,1.0,-0.31,-1.66,-1.66,2.55,,,,,C
GLW,2026-05-20,TECHNOLOGY,NONE,,6.5,6.5,6.0,-1.0,0.5,1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,180.69,178.06,159.9,108.6,14.49,211.79,148.17,15373899,0.88,1.0,0.18,7.07,7.07,8.02,,,,,B
GM,2026-05-20,CONSUMER CYCLICAL,NONE,,6.0,6.0,4.0,1.0,2.0,-1.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,76.14,76.63,76.01,71.77,2.4,79.8,70.43,7235404,0.85,1.0,-0.2,-3.62,-3.62,3.15,,,,,B
GOLD,2026-05-20,FINANCIAL SERVICES,NONE,,0.0,0.0,2.0,0.0,0.0,-2.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,41.01,43.19,43.96,36.63,2.17,48.26,38.3,613769,0.82,0.0,-1.01,-13.24,-13.24,5.29,,,,,C
GOOGL,2026-05-20,COMMUNICATION SERVICES,NONE,,9.0,9.0,6.0,-1.0,2.0,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,388.91,381.12,337.97,294.29,9.81,408.61,335.17,29476541,1.03,2.0,0.79,14.61,14.61,2.52,,,,,B
GS,2026-05-20,FINANCIAL SERVICES,BREAKOUT,BREAKOUT,18.85,18.85,6.0,8.1,3.75,1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,982.12,935.92,888.6,845.81,25.36,975.66,899.0,1797368,1.35,4.5,1.82,5.06,5.06,2.58,982.12,923.81,1133.73,2.6,A
GWW,2026-05-20,INDUSTRIALS,NONE,,7.5,7.5,6.0,1.0,-0.5,1.0,True,True,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1244.05,1201.39,1144.08,1046.93,32.73,1286.56,1134.76,282318,0.54,2.0,1.3,7.79,7.79,2.63,,,,,B
HAL,2026-05-20,ENERGY,NONE,,12.0,12.0,6.0,2.0,2.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,42.3,41.19,38.96,30.42,1.18,43.37,38.78,10631064,1.02,2.5,0.94,8.16,8.16,2.78,,,,,A
HCA,2026-05-20,HEALTHCARE,NONE,,-3.0,-3.0,2.0,-2.0,-1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,396.67,429.98,467.9,462.0,10.39,479.44,398.95,1475162,1.24,1.0,-3.21,-15.84,-15.84,2.62,,,,,C
HD,2026-05-20,CONSUMER CYCLICAL,NONE,,-0.5,-0.5,1.0,1.0,-0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,310.58,317.15,327.72,366.76,8.55,345.24,289.1,4979802,1.0,0.5,-0.77,-8.52,-8.52,2.75,,,,,C
HEI,2026-05-20,INDUSTRIALS,NONE,,8.0,8.0,3.0,1.0,2.0,2.0,False,True,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,301.49,281.5,282.77,312.08,10.15,301.1,256.11,812273,1.12,2.5,1.97,12.26,12.26,3.37,,,,,B
HII,2026-05-20,INDUSTRIALS,NONE,,-1.0,-1.0,2.0,-1.0,0.0,-2.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,321.92,340.04,375.67,342.94,13.01,384.88,311.0,605032,0.54,0.0,-1.39,-12.25,-12.25,4.04,,,,,C
HLT,2026-05-20,CONSUMER CYCLICAL,PULLBACK,PULLBACK,6.5,6.5,6.0,2.0,-0.5,-1.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,323.87,319.81,314.43,289.81,7.12,342.53,308.06,1692673,0.63,2.5,0.57,-2.94,-2.94,2.2,323.87,308.76,354.09,2.0,A
HON,2026-05-20,INDUSTRIALS,NONE,,2.5,2.5,3.0,0.0,0.5,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,217.39,214.63,223.23,211.53,4.57,226.0,207.83,4113119,0.81,1.0,0.6,-1.17,-1.17,2.1,,,,,C
HPE,2026-05-20,TECHNOLOGY,NONE,,13.0,13.0,6.0,4.0,1.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,33.8,30.41,26.66,23.85,1.38,34.69,27.34,14809255,0.77,3.5,2.45,18.55,18.55,4.1,,,,,A
HPQ,2026-05-20,TECHNOLOGY,NONE,,6.0,6.0,4.0,0.0,1.0,1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,21.07,20.84,19.78,23.11,0.84,22.78,19.5,15062038,0.77,0.0,0.27,3.08,3.08,4.01,,,,,B
HSY,2026-05-20,CONSUMER DEFENSIVE,NONE,,4.0,4.0,3.0,1.0,0.0,0.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,190.84,188.55,199.44,193.57,5.02,196.58,180.18,1982740,0.57,1.0,0.46,1.16,1.16,2.63,,,,,B
ICE,2026-05-20,FINANCIAL SERVICES,NONE,,-0.5,-0.5,1.0,0.0,-0.5,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,151.69,155.78,158.36,162.9,3.52,161.34,152.35,3144367,0.88,0.0,-1.16,-4.49,-4.49,2.32,,,,,C
IDXX,2026-05-20,HEALTHCARE,NONE,,2.0,2.0,1.0,2.0,0.0,-1.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,553.58,554.59,567.49,640.89,20.04,585.12,523.38,659258,0.93,1.5,-0.05,-4.28,-4.28,3.62,,,,,C
IEX,2026-05-20,INDUSTRIALS,NONE,,2.4,2.4,3.1,0.0,-0.7,0.0,True,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,208.19,211.77,201.3,183.59,4.07,223.85,202.79,690225,0.5,0.0,-0.88,2.24,2.24,1.96,,,,,C
ILMN,2026-05-20,HEALTHCARE,NONE,,9.0,9.0,6.0,0.0,1.0,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,141.92,136.87,130.05,120.61,5.79,150.2,119.14,1718613,0.85,1.0,0.87,8.75,8.75,4.08,,,,,B
INTC,2026-05-20,TECHNOLOGY,NONE,,9.0,9.0,6.0,1.0,0.0,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,118.96,104.61,73.54,46.18,10.24,132.75,64.98,166063823,0.97,1.0,1.4,82.26,82.26,8.61,,,,,B
INTU,2026-05-20,TECHNOLOGY,NONE,,0.5,0.5,1.0,1.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,383.93,393.0,407.48,563.66,19.33,423.99,366.3,2706004,2.25,2.5,-0.47,-6.06,-6.06,5.03,,,,,C
IP,2026-05-20,CONSUMER CYCLICAL,NONE,,-2.0,-2.0,1.0,-2.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,30.88,32.06,34.41,41.19,1.25,35.93,29.36,7837982,0.68,0.0,-0.94,-7.35,-7.35,4.04,,,,,C
IQV,2026-05-20,HEALTHCARE,NONE,,2.0,2.0,3.0,0.0,0.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,171.5,168.4,169.32,196.22,7.16,182.7,154.5,1794083,1.07,0.0,0.43,-2.12,-2.12,4.17,,,,,C
ISRG,2026-05-20,HEALTHCARE,NONE,,-0.5,-0.5,1.0,1.0,-0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,449.03,449.54,460.08,496.34,13.37,491.15,417.74,2260607,0.77,0.5,-0.04,-7.15,-7.15,2.98,,,,,C
ITW,2026-05-20,INDUSTRIALS,NONE,,-0.3,-0.3,1.7,0.7,-0.7,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,250.77,256.82,261.93,260.9,5.0,274.12,244.37,1435694,1.19,0.0,-1.21,-6.11,-6.11,1.99,,,,,C
JBL,2026-05-20,TECHNOLOGY,NONE,,3.0,3.0,4.0,-1.0,0.0,0.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,345.15,345.16,306.67,245.14,16.77,372.37,321.92,1287544,0.65,0.0,-0.0,2.6,2.6,4.86,,,,,C
JD,2026-05-20,CONSUMER CYCLICAL,NONE,,3.5,3.5,4.0,0.0,-1.5,1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,32.46,30.88,29.83,30.49,0.9,34.3,29.43,10461693,0.66,0.0,1.77,6.04,6.04,2.76,,,,,C
JNJ,2026-05-20,HEALTHCARE,NONE,,5.2,5.2,2.4,0.7,2.1,0.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,229.32,226.79,233.74,210.12,3.73,232.14,220.37,7478340,0.45,2.0,0.68,1.42,1.42,1.63,,,,,B
JPM,2026-05-20,FINANCIAL SERVICES,NONE,,4.0,4.0,3.0,1.0,1.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,301.98,305.98,300.88,305.42,6.33,316.3,295.26,7918289,1.18,1.0,-0.63,-3.53,-3.53,2.1,,,,,B
KDP,2026-05-20,CONSUMER DEFENSIVE,NONE,,7.0,7.0,3.0,0.0,2.0,2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,28.69,28.9,27.43,28.19,0.69,29.68,26.43,11451574,1.34,2.0,-0.3,8.1,8.1,2.42,,,,,B
KEYS,2026-05-20,TECHNOLOGY,NONE,,2.0,2.0,4.0,-2.0,0.0,0.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,342.08,351.0,321.78,228.53,12.36,370.17,324.27,1543055,2.08,2.0,-0.72,0.92,0.92,3.61,,,,,C
KHC,2026-05-20,CONSUMER DEFENSIVE,NONE,,9.0,9.0,4.0,1.0,3.0,1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,23.53,22.89,22.56,24.51,0.71,24.15,21.75,14627252,0.95,1.5,0.91,7.49,7.49,3.01,,,,,B
KKR,2026-05-20,FINANCIAL SERVICES,NONE,,-1.5,-1.5,2.0,-2.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,94.34,99.9,95.96,117.47,3.35,107.65,92.48,4692532,0.97,0.0,-1.66,-10.93,-10.93,3.55,,,,,C
KLAC,2026-05-20,TECHNOLOGY,PULLBACK,PULLBACK,6.5,6.5,6.0,0.0,0.5,0.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,1829.47,1808.86,1675.15,1318.54,81.38,1939.36,1646.0,1104683,0.81,1.0,0.25,0.96,0.96,4.45,1829.47,1675.15,2138.11,2.0,A
KMB,2026-05-20,CONSUMER DEFENSIVE,NONE,,3.5,3.5,2.0,1.0,0.5,0.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,97.55,97.39,97.68,109.11,2.34,100.49,94.67,4585310,0.53,1.0,0.07,0.83,0.83,2.4,,,,,C
KMI,2026-05-20,ENERGY,NONE,,7.5,7.5,4.0,2.0,0.5,1.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,33.59,32.45,32.73,29.27,0.7,34.81,30.73,11457462,0.74,1.5,1.64,5.6,5.6,2.08,,,,,B
KO,2026-05-20,CONSUMER DEFENSIVE,VCP,VCP,8.65,8.65,4.8,1.4,0.45,2.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,81.55,79.03,77.3,72.64,1.15,82.66,74.55,14692370,0.65,3.5,2.19,9.27,9.27,1.41,82.74,79.03,93.89,3.0,A
LCID,2026-05-20,CONSUMER CYCLICAL,NONE,,-2.0,-2.0,1.0,-2.0,1.0,-2.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,5.68,6.11,7.97,13.72,0.41,7.22,5.59,18631565,0.58,0.0,-1.06,-17.8,-17.8,7.18,,,,,C
LEN,2026-05-20,CONSUMER CYCLICAL,NONE,,0.5,0.5,1.0,1.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,87.31,87.9,89.8,113.23,3.03,95.54,81.18,2488432,1.09,0.5,-0.2,-7.56,-7.56,3.47,,,,,C
LHX,2026-05-20,INDUSTRIALS,NONE,,1.0,1.0,2.0,2.0,-1.0,-2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,309.15,310.94,336.72,312.31,7.68,344.2,296.67,1565181,0.97,0.5,-0.23,-6.79,-6.79,2.49,,,,,C
LIN,2026-05-20,BASIC MATERIALS,"PULLBACK, VCP",PULLBACK,7.5,7.5,6.0,0.0,1.5,0.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,506.63,504.94,498.75,464.17,10.96,521.28,490.4,2035878,1.01,2.0,0.15,2.43,2.43,2.16,506.63,492.26,535.37,2.0,A
LLY,2026-05-20,HEALTHCARE,NONE,,10.5,10.5,6.0,2.0,0.5,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1018.87,958.64,940.74,925.28,29.98,1022.82,850.51,3422376,0.59,3.0,2.01,10.57,10.57,2.94,,,,,A
LMT,2026-05-20,INDUSTRIALS,NONE,,1.0,1.0,3.0,1.0,-1.0,-2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,522.59,516.84,577.87,529.89,10.66,576.07,500.31,1545749,0.49,0.0,0.54,-5.91,-5.91,2.04,,,,,C
LNG,2026-05-20,ENERGY,NONE,,0.5,0.5,2.0,0.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,243.66,254.6,264.07,230.17,8.02,275.45,236.0,2349931,0.85,0.5,-1.36,-5.37,-5.37,3.29,,,,,C
LOW,2026-05-20,CONSUMER CYCLICAL,NONE,,-1.5,-1.5,1.0,0.0,-0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,221.05,229.62,235.53,249.22,6.43,252.02,213.5,2822043,2.16,2.0,-1.33,-9.85,-9.85,2.91,,,,,C
LRCX,2026-05-20,TECHNOLOGY,NONE,,11.5,11.5,6.0,0.0,3.5,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,292.09,276.03,252.22,186.45,15.26,302.0,241.6,9635043,0.89,2.0,1.05,9.99,9.99,5.23,,,,,A
LULU,2026-05-20,CONSUMER CYCLICAL,NONE,,-0.5,-0.5,1.0,0.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,125.19,130.89,148.33,174.97,3.99,168.2,118.06,3711447,0.89,0.5,-1.43,-23.41,-23.41,3.18,,,,,C
LVS,2026-05-20,CONSUMER CYCLICAL,NONE,,-3.0,-3.0,1.0,-2.0,0.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,49.62,52.32,53.64,57.18,1.43,57.93,49.78,5385127,0.83,0.0,-1.89,-12.72,-12.72,2.89,,,,,C
LYFT,2026-05-20,TECHNOLOGY,NONE,,0.0,0.0,2.0,-1.0,1.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,13.35,13.91,13.72,17.38,0.6,14.98,12.76,15325933,1.14,0.0,-0.93,-7.55,-7.55,4.5,,,,,C
MA,2026-05-20,FINANCIAL SERVICES,NONE,,0.5,0.5,1.0,1.0,-0.5,-1.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,498.04,500.51,501.9,544.1,11.33,534.21,488.01,3850045,0.76,0.5,-0.22,-2.38,-2.38,2.28,,,,,C
MAR,2026-05-20,CONSUMER CYCLICAL,BREAKOUT,BREAKOUT,16.35,16.35,6.0,8.1,2.25,0.0,True,True,LIQUID,DISCOVERED,classified_setup,BULLISH,369.75,356.95,346.41,307.16,8.88,377.61,345.38,1385978,1.26,4.5,1.44,0.71,0.71,2.4,378.37,350.95,449.64,2.6,A
MCD,2026-05-20,CONSUMER CYCLICAL,NONE,,-0.5,-0.5,1.0,1.0,-0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,280.27,284.38,300.1,308.18,5.91,304.89,271.98,4283532,0.95,0.5,-0.7,-6.6,-6.6,2.11,,,,,C
MCHP,2026-05-20,TECHNOLOGY,NONE,,6.0,6.0,4.0,-1.0,1.0,2.0,True,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,94.02,94.42,78.91,69.67,4.07,105.91,81.09,12056646,0.9,0.0,-0.1,13.99,13.99,4.33,,,,,B
MCO,2026-05-20,FINANCIAL SERVICES,NONE,,3.0,3.0,3.0,1.0,0.0,-1.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,444.27,449.41,443.73,479.53,13.63,482.54,426.21,1048293,0.78,0.5,-0.38,-4.81,-4.81,3.07,,,,,C
MDB,2026-05-20,TECHNOLOGY,NONE,,9.0,9.0,4.0,4.0,-1.0,2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,329.14,285.59,266.27,321.49,18.38,349.21,240.62,1647064,0.86,1.5,2.37,22.11,22.11,5.59,,,,,B
MDLZ,2026-05-20,CONSUMER DEFENSIVE,NONE,,8.25,8.25,3.1,0.7,2.45,2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,61.84,60.67,58.58,58.94,1.18,62.59,55.79,7868775,0.9,2.0,0.99,10.31,10.31,1.91,,,,,B
MDT,2026-05-20,HEALTHCARE,NONE,,0.0,0.0,1.0,1.0,0.0,-2.0,False,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,78.15,78.74,83.57,93.26,1.65,84.27,74.4,9841448,0.78,0.5,-0.36,-6.09,-6.09,2.11,,,,,C
MELI,2026-05-20,CONSUMER CYCLICAL,NONE,,0.0,0.0,1.0,1.0,0.0,-2.0,False,False,ILLIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,1651.2,1717.21,1728.96,2046.31,77.25,1890.0,1495.0,706876,0.76,1.5,-0.85,-11.27,-11.27,4.68,,,,,C
META,2026-05-20,COMMUNICATION SERVICES,NONE,,0.0,0.0,2.0,0.0,0.0,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,605.06,624.93,619.32,671.02,13.2,682.5,592.6,16167083,0.7,0.0,-1.51,-10.32,-10.32,2.18,,,,,C
MO,2026-05-20,CONSUMER DEFENSIVE,NONE,,9.15,9.15,4.8,1.4,0.95,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,73.33,70.67,67.74,64.09,1.45,74.56,64.65,9974900,0.79,3.5,1.83,12.5,12.5,1.98,,,,,B
MP,2026-05-20,BASIC MATERIALS,NONE,,-1.5,-1.5,2.0,-2.0,0.5,-2.0,False,False,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,56.5,63.73,59.04,63.11,4.71,76.8,54.51,6734383,1.15,0.0,-1.53,-18.34,-18.34,8.34,,,,,C
MPC,2026-05-20,ENERGY,NONE,,12.5,12.5,6.0,2.0,2.5,2.0,True,True,LIQUID,UNCLASSIFIED,no_setup_detected,BULLISH,258.37,246.28,237.92,198.45,8.92,263.5,218.57,2294346,0.73,3.5,1.36,16.35,16.35,3.45,,,,,A
