ticker,target_date,fundamentals_period,revenue_growth_yoy,eps_growth_yoy,operating_margin,debt_leverage_metric,free_cash_flow_metric,fundamentals_source,fundamentals_source_url,fundamentals_last_updated,fundamentals_collection_status,data_quality_notes
CRWD,2026-05-19,,,,,,,,,,TO_COLLECT,
CSCO,2026-05-19,,,,,,,,,,TO_COLLECT,
CSX,2026-05-19,,,,,,,,,,TO_COLLECT,
CVS,2026-05-19,,,,,,,,,,TO_COLLECT,
CVX,2026-05-19,,,,,,,,,,TO_COLLECT,
D,2026-05-19,,,,,,,,,,TO_COLLECT,
DDOG,2026-05-19,,,,,,,,,,TO_COLLECT,
DELL,2026-05-19,,,,,,,,,,TO_COLLECT,
DOCU,2026-05-19,,,,,,,,,,TO_COLLECT,
DUOL,2026-05-19,,,,,,,,,,TO_COLLECT,
DVN,2026-05-19,,,,,,,,,,TO_COLLECT,
DXCM,2026-05-19,,,,,,,,,,TO_COLLECT,
EBAY,2026-05-19,,,,,,,,,,TO_COLLECT,
ELV,2026-05-19,,,,,,,,,,TO_COLLECT,
ENB,2026-05-19,,,,,,,,,,TO_COLLECT,
ENPH,2026-05-19,,,,,,,,,,TO_COLLECT,
EOG,2026-05-19,,,,,,,,,,TO_COLLECT,
EQR,2026-05-19,,,,,,,,,,TO_COLLECT,
EW,2026-05-19,,,,,,,,,,TO_COLLECT,
EXPD,2026-05-19,,,,,,,,,,TO_COLLECT,
F,2026-05-19,,,,,,,,,,TO_COLLECT,
FDX,2026-05-19,,,,,,,,,,TO_COLLECT,
FTNT,2026-05-19,,,,,,,,,,TO_COLLECT,
GD,2026-05-19,,,,,,,,,,TO_COLLECT,
GLW,2026-05-19,,,,,,,,,,TO_COLLECT,
GOOGL,2026-05-19,,,,,,,,,,TO_COLLECT,
GS,2026-05-19,,,,,,,,,,TO_COLLECT,
GWW,2026-05-19,,,,,,,,,,TO_COLLECT,
HAL,2026-05-19,,,,,,,,,,TO_COLLECT,
HEI,2026-05-19,,,,,,,,,,TO_COLLECT,
HLT,2026-05-19,,,,,,,,,,TO_COLLECT,
HPE,2026-05-19,,,,,,,,,,TO_COLLECT,
HPQ,2026-05-19,,,,,,,,,,TO_COLLECT,
HSY,2026-05-19,,,,,,,,,,TO_COLLECT,
ILMN,2026-05-19,,,,,,,,,,TO_COLLECT,
INTC,2026-05-19,,,,,,,,,,TO_COLLECT,
INTU,2026-05-19,,,,,,,,,,TO_COLLECT,
JD,2026-05-19,,,,,,,,,,TO_COLLECT,
JNJ,2026-05-19,,,,,,,,,,TO_COLLECT,
KDP,2026-05-19,,,,,,,,,,TO_COLLECT,
KHC,2026-05-19,,,,,,,,,,TO_COLLECT,
KMI,2026-05-19,,,,,,,,,,TO_COLLECT,
KO,2026-05-19,,,,,,,,,,TO_COLLECT,
LIN,2026-05-19,,,,,,,,,,TO_COLLECT,
LLY,2026-05-19,,,,,,,,,,TO_COLLECT,
LRCX,2026-05-19,,,,,,,,,,TO_COLLECT,
MAR,2026-05-19,,,,,,,,,,TO_COLLECT,
MCHP,2026-05-19,,,,,,,,,,TO_COLLECT,
MDB,2026-05-19,,,,,,,,,,TO_COLLECT,
MDLZ,2026-05-19,,,,,,,,,,TO_COLLECT,
MO,2026-05-19,,,,,,,,,,TO_COLLECT,
MPC,2026-05-19,,,,,,,,,,TO_COLLECT,
MRK,2026-05-19,,,,,,,,,,TO_COLLECT,
MRVL,2026-05-19,,,,,,,,,,TO_COLLECT,
MS,2026-05-19,,,,,,,,,,TO_COLLECT,
MSFT,2026-05-19,,,,,,,,,,TO_COLLECT,
MU,2026-05-19,,,,,,,,,,TO_COLLECT,
NDAQ,2026-05-19,,,,,,,,,,TO_COLLECT,
NET,2026-05-19,,,,,,,,,,TO_COLLECT,
NOW,2026-05-19,,,,,,,,,,TO_COLLECT,
NSC,2026-05-19,,,,,,,,,,TO_COLLECT,
NVDA,2026-05-19,,,,,,,,,,TO_COLLECT,
NXPI,2026-05-19,,,,,,,,,,TO_COLLECT,
ODFL,2026-05-19,,,,,,,,,,TO_COLLECT,
OKE,2026-05-19,,,,,,,,,,TO_COLLECT,
OKTA,2026-05-19,,,,,,,,,,TO_COLLECT,
ON,2026-05-19,,,,,,,,,,TO_COLLECT,
ORCL,2026-05-19,,,,,,,,,,TO_COLLECT,
OXY,2026-05-19,,,,,,,,,,TO_COLLECT,
PANW,2026-05-19,,,,,,,,,,TO_COLLECT,
PAYX,2026-05-19,,,,,,,,,,TO_COLLECT,
PGR,2026-05-19,,,,,,,,,,TO_COLLECT,
PLD,2026-05-19,,,,,,,,,,TO_COLLECT,
PM,2026-05-19,,,,,,,,,,TO_COLLECT,
PSX,2026-05-19,,,,,,,,,,TO_COLLECT,
QCOM,2026-05-19,,,,,,,,,,TO_COLLECT,
RIO,2026-05-19,,,,,,,,,,TO_COLLECT,
ROKU,2026-05-19,,,,,,,,,,TO_COLLECT,
RSG,2026-05-19,,,,,,,,,,TO_COLLECT,
S,2026-05-19,,,,,,,,,,TO_COLLECT,
SBUX,2026-05-19,,,,,,,,,,TO_COLLECT,
SE,2026-05-19,,,,,,,,,,TO_COLLECT,
SLB,2026-05-19,,,,,,,,,,TO_COLLECT,
SMCI,2026-05-19,,,,,,,,,,TO_COLLECT,
SNOW,2026-05-19,,,,,,,,,,TO_COLLECT,
SNPS,2026-05-19,,,,,,,,,,TO_COLLECT,
SO,2026-05-19,,,,,,,,,,TO_COLLECT,
SU,2026-05-19,,,,,,,,,,TO_COLLECT,
SYK,2026-05-19,,,,,,,,,,TO_COLLECT,
TEAM,2026-05-19,,,,,,,,,,TO_COLLECT,
TECK,2026-05-19,,,,,,,,,,TO_COLLECT,
TGT,2026-05-19,,,,,,,,,,TO_COLLECT,
TRV,2026-05-19,,,,,,,,,,TO_COLLECT,
TSLA,2026-05-19,,,,,,,,,,TO_COLLECT,
TSM,2026-05-19,,,,,,,,,,TO_COLLECT,
TTWO,2026-05-19,,,,,,,,,,TO_COLLECT,
TWLO,2026-05-19,,,,,,,,,,TO_COLLECT,
TXN,2026-05-19,,,,,,,,,,TO_COLLECT,
U,2026-05-19,,,,,,,,,,TO_COLLECT,
UNH,2026-05-19,,,,,,,,,,TO_COLLECT,
UNP,2026-05-19,,,,,,,,,,TO_COLLECT,
V,2026-05-19,,,,,,,,,,TO_COLLECT,
VLO,2026-05-19,,,,,,,,,,TO_COLLECT,
VZ,2026-05-19,,,,,,,,,,TO_COLLECT,
WDAY,2026-05-19,,,,,,,,,,TO_COLLECT,
WDC,2026-05-19,,,,,,,,,,TO_COLLECT,
WELL,2026-05-19,,,,,,,,,,TO_COLLECT,
WMB,2026-05-19,,,,,,,,,,TO_COLLECT,
WMT,2026-05-19,,,,,,,,,,TO_COLLECT,
XEL,2026-05-19,,,,,,,,,,TO_COLLECT,
XOM,2026-05-19,,,,,,,,,,TO_COLLECT,
ZS,2026-05-19,,,,,,,,,,TO_COLLECT,
