timestamp,ticker,side,quantity,price
2026-04-08 16:14:23,COST,BUY,2.0,1026.0
2026-04-14 16:14:38,MRVL,BUY,15.0,136.93
2026-04-14 16:14:49,TECK,BUY,40.0,59.02
2026-04-16 16:14:58,ON,BUY,25.0,81.01
