Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,MA200,ATR14,20D_HIGH,20D_LOW,AVG_VOL_20
2025-03-13,232.75999450683594,234.9600067138672,226.5500030517578,227.8000030517578,227.8000030517578,1096000,,,,,,,
2025-03-14,230.27000427246094,234.1300048828125,229.41000366210938,234.05999755859375,234.05999755859375,903600,,,,,,,
2025-03-17,233.67999267578125,238.1300048828125,233.00999450683594,236.9600067138672,236.9600067138672,891900,,,,,,,
2025-03-18,235.52000427246094,237.08999633789062,233.8300018310547,236.42999267578125,236.42999267578125,859300,,,,,,,
2025-03-19,236.7100067138672,240.1199951171875,234.7899932861328,237.1699981689453,237.1699981689453,868100,,,,,,,
2025-03-20,237.36000061035156,237.80999755859375,233.44000244140625,235.85000610351562,235.85000610351562,738300,,,,,,,
2025-03-21,233.50999450683594,238.3699951171875,231.14999389648438,236.77000427246094,236.77000427246094,1192400,,,,,,,
2025-03-24,239.4199981689453,240.08999633789062,237.14999389648438,239.0399932861328,239.0399932861328,1230900,,,,,,,
2025-03-25,240.27000427246094,244.99000549316406,238.25,240.61000061035156,240.61000061035156,1056700,,,,,,,
2025-03-26,240.02999877929688,241.05999755859375,234.13999938964844,235.61000061035156,235.61000061035156,544400,,,,,,,
2025-03-27,234.94000244140625,238.85000610351562,232.82000732421875,237.47999572753906,237.47999572753906,936200,,,,,,,
2025-03-28,237.14999389648438,238.0500030517578,231.60000610351562,234.2100067138672,234.2100067138672,947500,,,,,,,
2025-03-31,231.69000244140625,233.0,228.80999755859375,231.6300048828125,231.6300048828125,1269100,,,,,,,
2025-04-01,227.97000122070312,229.24000549316406,221.77000427246094,227.89999389648438,227.89999389648438,2069200,,,,6.054286411830357,,,
2025-04-02,226.1999969482422,229.1999969482422,223.99000549316406,226.5399932861328,226.5399932861328,1578800,,,,5.825714111328125,,,
2025-04-03,220.02999877929688,225.16000366210938,215.8699951171875,221.49000549316406,221.49000549316406,1648400,,,,6.135713849748884,,,
2025-04-04,216.8300018310547,219.39999389648438,211.5500030517578,213.67999267578125,213.67999267578125,1939700,,,,6.4799989972795755,,,
2025-04-07,205.22999572753906,218.6300048828125,201.5399932861328,214.74000549316406,214.74000549316406,1552100,,,,7.467857360839844,,,
2025-04-08,220.4499969482422,221.17999267578125,207.50999450683594,209.38999938964844,209.38999938964844,1378800,,,,8.063571384974889,,,
2025-04-09,205.97000122070312,218.0,202.7100067138672,217.0399932861328,217.0399932861328,3159900,229.71999969482422,,,8.843571254185267,244.99000549316406,201.5399932861328,1293065.0
